Cast Vote Record,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2
355,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
356,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
357,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
359,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L."
360,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
362,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
363,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
364,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
365,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
367,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
368,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
369,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
370,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
371,"Bond, Tiffany L.",undervote,undervote,undervote
379,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
380,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
382,"Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
386,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
387,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
388,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
389,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",undervote,undervote
390,undervote,undervote,undervote,undervote
393,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote
399,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
400,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
401,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
404,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
405,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
406,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
407,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
413,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
417,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
418,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
419,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
420,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
421,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
422,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
427,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
429,"Hoar, William R.S.",undervote,undervote,undervote
430,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
431,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
433,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
434,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
436,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
437,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
